Match Number,Round Number,Date,Location,Home Team,Away Team,Result
202,4,14/11/2022 16:30,FTX Arena,Miami Heat,Phoenix Suns,113 - 112
203,4,14/11/2022 17:00,Toyota Center,Houston Rockets,LA Clippers,106 - 122
204,4,14/11/2022 17:00,Fiserv Forum,Milwaukee Bucks,Atlanta Hawks,106 - 121
205,4,14/11/2022 19:00,Chase Center,Golden State Warriors,San Antonio Spurs,132 - 95
206,4,15/11/2022 16:30,Smoothie King Center,New Orleans Pelicans,Memphis Grizzlies,113 - 102
207,4,15/11/2022 17:30,American Airlines Center,Dallas Mavericks,LA Clippers,103 - 101
208,4,15/11/2022 18:00,Vivint Arena,Utah Jazz,New York Knicks,111 - 118
209,4,15/11/2022 19:00,Moda Center,Portland Trail Blazers,San Antonio Spurs,117 - 110
210,4,15/11/2022 19:00,Golden 1 Center,Sacramento Kings,Brooklyn Nets,153 - 121
211,4,16/11/2022 16:00,Spectrum Center,Charlotte Hornets,Indiana Pacers,113 - 125
212,4,16/11/2022 16:00,Amway Center,Orlando Magic,Minnesota Timberwolves,108 - 126
213,4,16/11/2022 16:00,Capital One Arena,Washington Wizards,Oklahoma City Thunder,120 - 121
214,4,16/11/2022 16:30,State Farm Arena,Atlanta Hawks,Boston Celtics,101 - 126
215,4,16/11/2022 16:30,Scotiabank Arena,Toronto Raptors,Miami Heat,112 - 104
216,4,16/11/2022 17:00,Fiserv Forum,Milwaukee Bucks,Cleveland Cavaliers,113 - 98
217,4,16/11/2022 17:00,Smoothie King Center,New Orleans Pelicans,Chicago Bulls,124 - 110
218,4,16/11/2022 17:30,American Airlines Center,Dallas Mavericks,Houston Rockets,92 - 101
219,4,16/11/2022 19:00,Ball Arena,Denver Nuggets,New York Knicks,103 - 106
220,4,16/11/2022 19:00,Footprint Center,Phoenix Suns,Golden State Warriors,130 - 119
221,5,17/11/2022 19:00,Moda Center,Portland Trail Blazers,Brooklyn Nets,107 - 109
222,5,17/11/2022 19:00,Golden 1 Center,Sacramento Kings,San Antonio Spurs,130 - 112
223,5,17/11/2022 19:30,Crypto.com Arena,LA Clippers,Detroit Pistons,96 - 91
224,5,18/11/2022 16:00,Capital One Arena,Washington Wizards,Miami Heat,107 - 106
225,5,18/11/2022 16:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Charlotte Hornets,132 - 122
226,5,18/11/2022 16:30,Wells Fargo Center,Philadelphia 76ers,Milwaukee Bucks,110 - 102
227,5,18/11/2022 17:00,United Center,Chicago Bulls,Orlando Magic,107 - 108
228,5,18/11/2022 17:00,Toyota Center,Houston Rockets,Indiana Pacers,91 - 99
229,5,18/11/2022 17:00,FedExForum,Memphis Grizzlies,Oklahoma City Thunder,121 - 110
230,5,18/11/2022 17:30,American Airlines Center,Dallas Mavericks,Denver Nuggets,127 - 99
231,5,18/11/2022 17:30,Smoothie King Center,New Orleans Pelicans,Boston Celtics,109 - 117
232,5,18/11/2022 18:00,Vivint Arena,Utah Jazz,Phoenix Suns,134 - 133
233,5,18/11/2022 19:00,Chase Center,Golden State Warriors,New York Knicks,111 - 101
234,5,18/11/2022 19:30,Crypto.com Arena,Los Angeles Lakers,Detroit Pistons,128 - 121
235,5,19/11/2022 15:00,State Farm Arena,Atlanta Hawks,Toronto Raptors,124 - 122
236,5,19/11/2022 16:00,Gainbridge Fieldhouse,Indiana Pacers,Orlando Magic,114 - 113
237,5,19/11/2022 16:30,Wells Fargo Center,Philadelphia 76ers,Minnesota Timberwolves,109 - 112
238,5,19/11/2022 19:00,Moda Center,Portland Trail Blazers,Utah Jazz,113 - 118
239,5,19/11/2022 19:30,Crypto.com Arena,LA Clippers,San Antonio Spurs,119 - 97
240,5,20/11/2022 12:30,Footprint Center,Phoenix Suns,New York Knicks,116 - 95
241,5,20/11/2022 15:00,Capital One Arena,Washington Wizards,Charlotte Hornets,106 - 102
242,5,20/11/2022 15:00,Golden 1 Center,Sacramento Kings,Detroit Pistons,137 - 129
243,5,20/11/2022 16:00,Barclays Center,Brooklyn Nets,Memphis Grizzlies,127 - 115
244,5,20/11/2022 16:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Miami Heat,113 - 87
245,5,20/11/2022 16:00,Toyota Center,Houston Rockets,Golden State Warriors,120 - 127
246,5,20/11/2022 16:30,American Airlines Center,Dallas Mavericks,Denver Nuggets,97 - 98
247,5,20/11/2022 18:30,Crypto.com Arena,Los Angeles Lakers,San Antonio Spurs,123 - 92
248,5,21/11/2022 16:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Atlanta Hawks,114 - 102
249,5,21/11/2022 16:00,Gainbridge Fieldhouse,Indiana Pacers,Orlando Magic,123 - 102
250,5,21/11/2022 17:00,United Center,Chicago Bulls,Boston Celtics,121 - 107
251,5,21/11/2022 17:00,Fiserv Forum,Milwaukee Bucks,Portland Trail Blazers,119 - 111
252,5,21/11/2022 17:00,Target Center,Minnesota Timberwolves,Miami Heat,105 - 101
253,5,21/11/2022 17:00,Smoothie King Center,New Orleans Pelicans,Golden State Warriors,128 - 83
254,5,21/11/2022 17:00,Paycom Center,Oklahoma City Thunder,New York Knicks,119 - 129
255,5,21/11/2022 19:30,Crypto.com Arena,LA Clippers,Utah Jazz,121 - 114
256,5,22/11/2022 16:30,Wells Fargo Center,Philadelphia 76ers,Brooklyn Nets,115 - 106
257,5,22/11/2022 17:00,FedExForum,Memphis Grizzlies,Sacramento Kings,109 - 113
258,5,22/11/2022 18:00,Ball Arena,Denver Nuggets,Detroit Pistons,108 - 110
259,5,22/11/2022 19:00,Footprint Center,Phoenix Suns,Los Angeles Lakers,115 - 105
260,5,23/11/2022 16:00,Spectrum Center,Charlotte Hornets,Philadelphia 76ers,107 - 101
261,5,23/11/2022 16:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Portland Trail Blazers,114 - 96
262,5,23/11/2022 16:00,Gainbridge Fieldhouse,Indiana Pacers,Minnesota Timberwolves,101 - 115
263,5,23/11/2022 16:30,State Farm Arena,Atlanta Hawks,Sacramento Kings,115 - 106
264,5,23/11/2022 16:30,TD Garden,Boston Celtics,Dallas Mavericks,125 - 112
265,5,23/11/2022 16:30,FTX Arena,Miami Heat,Washington Wizards,113 - 105
266,5,23/11/2022 16:30,Scotiabank Arena,Toronto Raptors,Brooklyn Nets,98 - 112
267,5,23/11/2022 17:00,Fiserv Forum,Milwaukee Bucks,Chicago Bulls,113 - 118
268,5,23/11/2022 17:00,Paycom Center,Oklahoma City Thunder,Denver Nuggets,126 - 131
269,5,23/11/2022 17:00,AT&T Center,San Antonio Spurs,New Orleans Pelicans,110 - 129
270,5,23/11/2022 18:00,Vivint Arena,Utah Jazz,Detroit Pistons,116 - 125
271,5,23/11/2022 19:00,Chase Center,Golden State Warriors,LA Clippers,124 - 107
272,6,25/11/2022 14:00,Spectrum Center,Charlotte Hornets,Minnesota Timberwolves,110 - 108
273,6,25/11/2022 16:00,Amway Center,Orlando Magic,Philadelphia 76ers,99 - 107
274,6,25/11/2022 16:30,Madison Square Garden,New York Knicks,Portland Trail Blazers,129 - 132
275,6,25/11/2022 17:00,TD Garden,Boston Celtics,Sacramento Kings,122 - 104
276,6,25/11/2022 17:00,Gainbridge Fieldhouse,Indiana Pacers,Brooklyn Nets,128 - 117
277,6,25/11/2022 17:00,FTX Arena,Miami Heat,Washington Wizards,110 - 107
278,6,25/11/2022 17:00,Toyota Center,Houston Rockets,Atlanta Hawks,128 - 122
279,6,25/11/2022 17:00,FedExForum,Memphis Grizzlies,New Orleans Pelicans,132 - 111
280,6,25/11/2022 17:00,Fiserv Forum,Milwaukee Bucks,Cleveland Cavaliers,117 - 102
281,6,25/11/2022 17:00,Paycom Center,Oklahoma City Thunder,Chicago Bulls,123 - 119
282,6,25/11/2022 17:00,AT&T Center,San Antonio Spurs,Los Angeles Lakers,94 - 105
283,6,25/11/2022 18:00,Footprint Center,Phoenix Suns,Detroit Pistons,108 - 102
284,6,25/11/2022 19:00,Chase Center,Golden State Warriors,Utah Jazz,129 - 118
285,6,25/11/2022 19:30,Crypto.com Arena,LA Clippers,Denver Nuggets,104 - 114
286,6,26/11/2022 14:00,Scotiabank Arena,Toronto Raptors,Dallas Mavericks,105 - 100
287,6,26/11/2022 17:00,Toyota Center,Houston Rockets,Oklahoma City Thunder,118 - 105
288,6,26/11/2022 17:00,AT&T Center,San Antonio Spurs,Los Angeles Lakers,138 - 143
289,6,26/11/2022 18:00,Footprint Center,Phoenix Suns,Utah Jazz,113 - 112
290,6,27/11/2022 12:00,Barclays Center,Brooklyn Nets,Portland Trail Blazers,111 - 97
291,6,27/11/2022 12:30,Target Center,Minnesota Timberwolves,Golden State Warriors,114 - 137
292,6,27/11/2022 13:00,Crypto.com Arena,LA Clippers,Indiana Pacers,114 - 100
293,6,27/11/2022 14:00,State Farm Arena,Atlanta Hawks,Miami Heat,98 - 106
294,6,27/11/2022 15:00,TD Garden,Boston Celtics,Washington Wizards,130 - 121
295,6,27/11/2022 15:00,Little Caesars Arena,Detroit Pistons,Cleveland Cavaliers,94 - 102
296,6,27/11/2022 15:00,Madison Square Garden,New York Knicks,Memphis Grizzlies,123 - 127
297,6,27/11/2022 15:00,Amway Center,Orlando Magic,Philadelphia 76ers,103 - 133
298,6,27/11/2022 17:00,Fiserv Forum,Milwaukee Bucks,Dallas Mavericks,124 - 115
299,6,28/11/2022 16:00,Wells Fargo Center,Philadelphia 76ers,Atlanta Hawks,104 - 101
300,6,28/11/2022 16:00,Capital One Arena,Washington Wizards,Minnesota Timberwolves,142 - 127
301,6,28/11/2022 16:30,TD Garden,Boston Celtics,Charlotte Hornets,140 - 105
302,6,28/11/2022 16:30,Barclays Center,Brooklyn Nets,Orlando Magic,109 - 102
303,6,28/11/2022 16:30,Scotiabank Arena,Toronto Raptors,Cleveland Cavaliers,100 - 88
304,6,28/11/2022 17:00,Smoothie King Center,New Orleans Pelicans,Oklahoma City Thunder,105 - 101
305,6,28/11/2022 18:00,Ball Arena,Denver Nuggets,Houston Rockets,129 - 113
306,6,28/11/2022 18:00,Vivint Arena,Utah Jazz,Chicago Bulls,107 - 114
307,6,28/11/2022 19:00,Golden 1 Center,Sacramento Kings,Phoenix Suns,117 - 122
308,6,28/11/2022 19:30,Crypto.com Arena,Los Angeles Lakers,Indiana Pacers,115 - 116
309,6,29/11/2022 16:00,Little Caesars Arena,Detroit Pistons,New York Knicks,110 - 140
310,6,29/11/2022 16:30,American Airlines Center,Dallas Mavericks,Golden State Warriors,116 - 113
311,6,29/11/2022 19:00,Moda Center,Portland Trail Blazers,LA Clippers,112 - 118
312,6,30/11/2022 16:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Philadelphia 76ers,113 - 85
313,6,30/11/2022 16:00,Amway Center,Orlando Magic,Atlanta Hawks,108 - 125
314,6,30/11/2022 16:30,TD Garden,Boston Celtics,Miami Heat,134 - 121
315,6,30/11/2022 16:30,Barclays Center,Brooklyn Nets,Washington Wizards,113 - 107
316,6,30/11/2022 16:30,Madison Square Garden,New York Knicks,Milwaukee Bucks,103 - 109
317,6,30/11/2022 17:00,Target Center,Minnesota Timberwolves,Memphis Grizzlies,109 - 101
318,6,30/11/2022 17:00,Smoothie King Center,New Orleans Pelicans,Toronto Raptors,126 - 108
319,6,30/11/2022 17:00,Paycom Center,Oklahoma City Thunder,San Antonio Spurs,119 - 111
320,6,30/11/2022 18:00,Ball Arena,Denver Nuggets,Houston Rockets,120 - 100
321,6,30/11/2022 18:00,Footprint Center,Phoenix Suns,Chicago Bulls,132 - 113
322,6,30/11/2022 18:00,Vivint Arena,Utah Jazz,LA Clippers,125 - 112
323,6,30/11/2022 19:00,Golden 1 Center,Sacramento Kings,Indiana Pacers,137 - 114
324,6,30/11/2022 19:30,Crypto.com Arena,Los Angeles Lakers,Portland Trail Blazers,128 - 109
325,7,01/12/2022 16:00,Little Caesars Arena,Detroit Pistons,Dallas Mavericks,131 - 125
326,7,02/12/2022 16:00,Spectrum Center,Charlotte Hornets,Washington Wizards,117 - 116
327,7,02/12/2022 16:30,State Farm Arena,Atlanta Hawks,Denver Nuggets,117 - 109
328,7,02/12/2022 16:30,TD Garden,Boston Celtics,Miami Heat,116 - 120
329,7,02/12/2022 16:30,Barclays Center,Brooklyn Nets,Toronto Raptors,114 - 105
330,7,02/12/2022 16:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Orlando Magic,107 - 96
331,7,02/12/2022 16:30,Fiserv Forum,Milwaukee Bucks,Los Angeles Lakers,129 - 133
332,7,02/12/2022 17:00,FedExForum,Memphis Grizzlies,Philadelphia 76ers,117 - 109
333,7,02/12/2022 17:00,AT&T Center,San Antonio Spurs,New Orleans Pelicans,99 - 117
334,7,02/12/2022 18:00,Footprint Center,Phoenix Suns,Houston Rockets,121 - 122
335,7,02/12/2022 18:00,Vivint Arena,Utah Jazz,Indiana Pacers,139 - 119
336,7,02/12/2022 19:00,Chase Center,Golden State Warriors,Chicago Bulls,119 - 111
337,7,03/12/2022 09:30,Madison Square Garden,New York Knicks,Dallas Mavericks,100 - 121
338,7,03/12/2022 13:00,Crypto.com Arena,LA Clippers,Sacramento Kings,96 - 123
339,7,03/12/2022 15:00,Spectrum Center,Charlotte Hornets,Milwaukee Bucks,96 - 105
340,7,03/12/2022 17:00,Scotiabank Arena,Toronto Raptors,Orlando Magic,121 - 108
341,7,03/12/2022 17:00,Target Center,Minnesota Timberwolves,Oklahoma City Thunder,128 - 135
342,7,03/12/2022 17:30,Chase Center,Golden State Warriors,Houston Rockets,120 - 101
343,7,03/12/2022 18:00,Vivint Arena,Utah Jazz,Portland Trail Blazers,111 - 116
344,7,04/12/2022 12:30,Smoothie King Center,New Orleans Pelicans,Denver Nuggets,121 - 106
345,7,04/12/2022 13:00,AT&T Center,San Antonio Spurs,Phoenix Suns,95 - 133
346,7,04/12/2022 15:00,Barclays Center,Brooklyn Nets,Boston Celtics,92 - 103
347,7,04/12/2022 15:00,Little Caesars Arena,Detroit Pistons,Memphis Grizzlies,112 - 122
348,7,04/12/2022 15:00,Madison Square Garden,New York Knicks,Cleveland Cavaliers,92 - 81
349,7,04/12/2022 15:00,Capital One Arena,Washington Wizards,Los Angeles Lakers,119 - 130
350,7,04/12/2022 15:00,Golden 1 Center,Sacramento Kings,Chicago Bulls,110 - 101
351,7,04/12/2022 18:00,Moda Center,Portland Trail Blazers,Indiana Pacers,116 - 100
352,7,05/12/2022 16:00,Spectrum Center,Charlotte Hornets,LA Clippers,117 - 119
353,7,05/12/2022 16:00,Amway Center,Orlando Magic,Milwaukee Bucks,102 - 109
354,7,05/12/2022 16:30,State Farm Arena,Atlanta Hawks,Oklahoma City Thunder,114 - 121
355,7,05/12/2022 16:30,Scotiabank Arena,Toronto Raptors,Boston Celtics,110 - 116
356,7,05/12/2022 17:00,Toyota Center,Houston Rockets,Philadelphia 76ers,132 - 123
357,7,05/12/2022 17:00,FedExForum,Memphis Grizzlies,Miami Heat,101 - 93
358,7,05/12/2022 17:30,American Airlines Center,Dallas Mavericks,Phoenix Suns,130 - 111
359,7,05/12/2022 19:00,Chase Center,Golden State Warriors,Indiana Pacers,104 - 112
360,7,06/12/2022 16:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Los Angeles Lakers,116 - 102
361,7,06/12/2022 16:30,FTX Arena,Miami Heat,Detroit Pistons,96 - 116
362,7,06/12/2022 19:00,Ball Arena,Denver Nuggets,Dallas Mavericks,115 - 116
363,7,07/12/2022 16:00,Amway Center,Orlando Magic,LA Clippers,116 - 111
364,7,07/12/2022 16:30,Barclays Center,Brooklyn Nets,Charlotte Hornets,122 - 116
365,7,07/12/2022 16:30,Madison Square Garden,New York Knicks,Atlanta Hawks,113 - 89
366,7,07/12/2022 16:30,Scotiabank Arena,Toronto Raptors,Los Angeles Lakers,126 - 113
367,7,07/12/2022 17:00,United Center,Chicago Bulls,Washington Wizards,115 - 111
368,7,07/12/2022 17:00,FedExForum,Memphis Grizzlies,Oklahoma City Thunder,123 - 102
369,7,07/12/2022 17:00,Fiserv Forum,Milwaukee Bucks,Sacramento Kings,126 - 113
370,7,07/12/2022 17:00,Target Center,Minnesota Timberwolves,Indiana Pacers,121 - 115
371,7,07/12/2022 17:00,Smoothie King Center,New Orleans Pelicans,Detroit Pistons,104 - 98
372,7,07/12/2022 18:00,Vivint Arena,Utah Jazz,Golden State Warriors,124 - 123
373,7,07/12/2022 19:00,Footprint Center,Phoenix Suns,Boston Celtics,98 - 125
374,8,08/12/2022 16:30,FTX Arena,Miami Heat,LA Clippers,115 - 110
375,8,08/12/2022 17:30,AT&T Center,San Antonio Spurs,Houston Rockets,118 - 109
376,8,08/12/2022 19:00,Moda Center,Portland Trail Blazers,Denver Nuggets,120 - 121
377,8,09/12/2022 16:00,Spectrum Center,Charlotte Hornets,New York Knicks,102 - 121
378,8,09/12/2022 16:00,Gainbridge Fieldhouse,Indiana Pacers,Washington Wizards,121 - 111
379,8,09/12/2022 16:00,Amway Center,Orlando Magic,Toronto Raptors,113 - 109
380,8,09/12/2022 16:30,Barclays Center,Brooklyn Nets,Atlanta Hawks,120 - 116
381,8,09/12/2022 16:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Sacramento Kings,95 - 106
382,8,09/12/2022 16:30,Wells Fargo Center,Philadelphia 76ers,Los Angeles Lakers,133 - 122
383,8,09/12/2022 17:00,FedExForum,Memphis Grizzlies,Detroit Pistons,114 - 103
384,8,09/12/2022 17:30,Smoothie King Center,New Orleans Pelicans,Phoenix Suns,128 - 117
385,8,09/12/2022 18:00,Vivint Arena,Utah Jazz,Minnesota Timberwolves,108 - 118
386,8,09/12/2022 19:00,American Airlines Center,Dallas Mavericks,Milwaukee Bucks,105 - 106
387,8,10/12/2022 14:00,FTX Arena,Miami Heat,San Antonio Spurs,111 - 115
